price,is_weekend_holiday,hour,day_of_week,month,is_dst
52.5,False,15,2,2,False
55.55,False,16,2,2,False
60.19,False,17,2,2,False
65.13,False,18,2,2,False
65.62,False,19,2,2,False
66.35,False,20,2,2,False
66.19,False,21,2,2,False
63.87,False,22,2,2,False
62.09,False,0,3,2,False
56.51,False,1,3,2,False
51.0,False,2,3,2,False
50.16,False,3,3,2,False
50.16,False,4,3,2,False
50.19,False,5,3,2,False
56.07,False,6,3,2,False
62.34,False,7,3,2,False
67.66,False,8,3,2,False
67.45,False,9,3,2,False
67.18,False,10,3,2,False
65.62,False,11,3,2,False
64.84,False,12,3,2,False
64.63,False,13,3,2,False
62.62,False,14,3,2,False
62.09,False,15,3,2,False
63.0,False,16,3,2,False
64.63,False,17,3,2,False
71.19,False,18,3,2,False
71.04,False,19,3,2,False
71.04,False,20,3,2,False
70.49,False,21,3,2,False
69.42,False,22,3,2,False
62.62,False,0,4,2,False
63.73,False,1,4,2,False
53.58,False,2,4,2,False
50.8,False,3,4,2,False
50.5,False,4,4,2,False
53.35,False,5,4,2,False
58.57,False,6,4,2,False
63.57,False,7,4,2,False
67.62,False,8,4,2,False
69.19,False,9,4,2,False
68.0,False,10,4,2,False
67.42,False,11,4,2,False
67.66,False,12,4,2,False
67.44,False,13,4,2,False
65.0,False,14,4,2,False
62.09,False,15,4,2,False
60.51,False,16,4,2,False
58.15,False,17,4,2,False
58.57,False,18,4,2,False
62.48,False,19,4,2,False
63.53,False,20,4,2,False
62.3,False,21,4,2,False
58.3,False,22,4,2,False
49.51,True,0,5,2,False
46.96,True,1,5,2,False
44.99,True,2,5,2,False
44.32,True,3,5,2,False
44.03,True,4,5,2,False
44.03,True,5,5,2,False
44.19,True,6,5,2,False
46.99,True,7,5,2,False
46.99,True,8,5,2,False
53.0,True,9,5,2,False
60.21,True,10,5,2,False
53.18,True,11,5,2,False
49.51,True,12,5,2,False
48.0,True,13,5,2,False
46.99,True,14,5,2,False
45.41,True,15,5,2,False
44.99,True,16,5,2,False
44.99,True,17,5,2,False
56.07,True,18,5,2,False
64.63,True,19,5,2,False
66.42,True,20,5,2,False
66.01,True,21,5,2,False
62.09,True,22,5,2,False
50.81,True,0,6,2,False
46.99,True,1,6,2,False
44.57,True,2,6,2,False
44.19,True,3,6,2,False
43.26,True,4,6,2,False
43.07,True,5,6,2,False
43.22,True,6,6,2,False
44.17,True,7,6,2,False
44.17,True,8,6,2,False
44.99,True,9,6,2,False
48.32,True,10,6,2,False
48.43,True,11,6,2,False
48.0,True,12,6,2,False
50.43,True,13,6,2,False
47.31,True,14,6,2,False
44.67,True,15,6,2,False
44.32,True,16,6,2,False
44.47,True,17,6,2,False
48.4,True,18,6,2,False
61.68,True,19,6,2,False
63.03,True,20,6,2,False
63.86,True,21,6,2,False
62.49,True,22,6,2,False
45.0,False,0,0,2,False
43.22,False,1,0,2,False
42.12,False,2,0,2,False
40.26,False,3,0,2,False
40.26,False,4,0,2,False
41.7,False,5,0,2,False
47.57,False,6,0,2,False
58.87,False,7,0,2,False
61.11,False,8,0,2,False
62.09,False,9,0,2,False
62.25,False,10,0,2,False
61.28,False,11,0,2,False
60.65,False,12,0,2,False
60.07,False,13,0,2,False
59.92,False,14,0,2,False
55.21,False,15,0,2,False
54.95,False,16,0,2,False
58.64,False,17,0,2,False
61.44,False,18,0,2,False
